text,sentiment_pred,urgency
Este producto al principio le ajusta adecuadamente al mobil pero luego de un mes o dos le queda ancho que el aparato puede salirse solo. Parece que con el uso se agranda y se rompe en la parte donde se prende.,positive,0.2
This product does not work as advertized. Fails to connect for a charge when attached. Watch out when you purchase. Signed an unsatisfied customer.,negative,0.4
"Slippery for phones and clip a little loose in pressure, but it works OK given limited choices out there.",neutral,0.2
"This kit is basically the only one you can get for this application, and it does work, but it is very poor quality especially for the price. When I received the kit one led for the hvac controls was completely off the board and another only had only one wire attached. This was fairly easily fixed with some soldering, but not everyone wants to solder to a brand new and expensive kit. The retaining clips are also cheap plastic and easily broken. Definitely not the best mounting kit I've ever used, but it does work.",neutral,0.4
"Fit is excellent, but battery life is barely more than the original. Also, it very quickly begins degrading to shorter life.",positive,0.2
Does the job I thought it would. I plan on using it a lot in Disney World so I will have a better idea in August,neutral,0.2
"I got my phone with Verizon's ""New every 2"" plan. I have over a year before I can ditch this phone and get something that is that is more useful. In the beginning I had to adjust to the touch pad and it took a few days. Now, it dials radomly. If I check my call log, it may dial the last call on the list. If I unlock the screen to check the time, it may radomly dial the last call (sent or received). Hearing voices, you're not crazy, those are the annoyed voices of the people you inadvertently called when you put the phone in your pocket/purse. Not to mention the frequent Web connections that I have yet to figure out but I guess I touched something somewhere. In order to disconnect you have to unlock the phone which conveniently locks after the call is dialed. I don't know how many minutes I have burned on the web while the phone was buried in my purse. If the phone gets too close to your face during a call you will be muted or on some random menu that you don't want. Then after about 8 months the touch screen will stop responding when you touch it, you have to touch it several times or start over. Or, better still, it will speed scroll and you will be unable to stop it with out opening and closing the phone. I enjoyed reading the reviews because I see that the majority of them are about the same problems I have had. Verizon charges too much for every downloadable feature and also the chargers and headphones needed to get full use of all the extra features. If you are a techy and can get around all of these problems, great. For the average cell phone user this is not the phone for you.",neutral,0.2
"The arms move/tilt in a very small angle so the phone/ipod holder does not point at the direction that you might want. I tried the dash mount, my iphone was literally point at the ceiling. Not only that, the suction mount is very weak when mounting on the dash pad provided. Very disappointed with this and I did not keep it for more than a day.",negative,0.2
The headset produced static that could be heard by anyone I called. They couldn't hear my voice over the static. Awful. I bought this for the cheap price and would have given it to my daughter if it was merely not as good as I wanted. It was awful and I returned it for credit.,neutral,0.4
"Since i received this battery, i hadn't any problems at all with my N96, a second battery was a must have to combine with my Desktop USB Cradle for the N96. Personal comments are buy another battery and maximice the N96 power.&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Nokia-N96-USB-Sync-Charge-Desktop-Docking-Cradle-with-Second-Battery-Charging-Slot/dp/B001PHDFAY/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Nokia N96 USB Sync Charge Desktop Docking Cradle with Second Battery Charging Slot</a>.",positive,0.2
"I bought this one for my husband because the keys are simple and the layout is nice, the red is appealing and the size is small However, my husbands phone lasted 2 months and then the screen just went blank and that was it, he returned it, they sent another one, he had it for 2 weeks and the front screen cracked. My husband has had lots of phones and is very easy going on the phones he has owned in the past, but this one is cheaply made and flimsy in my opinion! dont waste your money! Cell phone companies need to quit making these plastic like phones, we need more rugged phones that stand up to being in a pocket throughout the day.",negative,0.4
"These chargers are cheap, break easily and sometimes fail to charge anything plugged up to them. I would recommend getting a USB cigarette lighter adapter and using a USB cable instead.",positive,0.2
"Considering this is one of Motorola's higher line bluetooths, I'm very disappointed in the sound quality of this one. I suspect the sensitivity of the mic is very weak because you have to scream so the other person can hear you. I can hear them just fine, but its sad to say some of the cheaper units by Platronics were much better.",negative,0.2
sound quality is ok.... the fitting on the speaker keeps coming out doesn't really fit well.,neutral,0.2
Doesn't work well with iOS!,negative,0.4
very good except sometimes there is a lot of noise to the other callers that they can not hear me clearly,neutral,0.2
"Works perfectly, and it's great that these fit the device without me having to carry along the little dongle that Creative supplied for connecting plugs to the Zen Vision:M.",positive,0.2
"Extremely fragile. Broke a corner within the first two days. I am writing this review on May 27,2016 and the item is now barely holding together.",negative,0.2
"I had a similar experience as the other low star postings. 1- Had to update firmware (with a wired connection) before the unit would accept my Linksys card. 2- Mp3 streaming is choppy at best and my wireless base is only 30' away. 3- Prismiq customer service is friendly but cannot fix a substandard product. I did experiment using a wired connection and the unit works fine. But this defeats my whole reason for purchasing media player. I want a ""wireless"" connection to my home entertainment center! Product will be returned.",negative,0.4
"I love this case, but I wore it on the side of my hip, and like others have said,"" it ripped away from the metal clip."" I hit the corner of my desk at work, and the metal clip pulled away from the rest of the case. I will buy it again though, at the price I am not to upset. Make sure to wear it in the front to avoid this, or be careful where you walk.",positive,0.2
The buds work good. The issue I have is that I wanted them to listen to music on my computer without having to be connected to it by a wire. I usually use my iPhone earbuds and was expecting the sound to be similar. I was disappointed to hear a very faint buds and no base whatsoever. I guess they will work for answering calls on your phone but they are definitively not good for listening to music.,neutral,0.2
Has worked well for over a month. Color of battery cover is slightly mismatched to rest of the phone.,neutral,0.2
I love this bluetooth piece. being able to switch it off is a feature not many other head sets have. It also makes storing it that much easier. The battery life is great especially since you do not have to keep it on all the time.,positive,0.2
"Living in a rural area with limited coverage, and being retired as well, has changed how I use my cellular phone and how often I use it. Knowing that the closest cell is about 4 miles away and signal strength in my residence is virtually nonexistent has reduced my dependence on mobile communications. I do like good audio quality and adequate signal strength away from home, and the V197 is capable of both. A week without recharging, and the ability to charge from one of my laptop's USB ports are nice bonuses (I have docking ports for the laptop on both the SUV and touring motorcycle). My netbook does my messaging, my Nikon camera and Samsung video recorder take care of pictures, so all I really need is a dependable cellphone, and the V197 is a more-than-adequate performer.",positive,0.2
"This made a huge difference in areas of marginal signal in Montana and Glacier NP, Yellowstone NP and Grand Teton NP and other places on our trip. The connections do get hot as mentioned by other reviewers but it can be handled without burning you. I didn't see any improvement in the DFW Texas area but we have a good signal so it's not really necessary. As mentioned by others, it can't boost a signal that's not there so no service means no service. It worked well on my Iphone 6S in an Otter Box. If you're in an area with weak signal, it's well worth the cost.",positive,0.2
after 2 years use I still bring out the Wii a little and use this cable. The cable has to be tweaked just right or the colors are all messed up. It was so cheap that I didn't expect much but still it shouldn't have been this bad after very moderate use. I moved 4 times since I got it so that may be the issue. I bet if you don' keep moving the cable and push it through little opening is will work great for many years.,neutral,0.4
"People can finally hear everything I say when I'm driving in my car and talking ""hands free"" with a more than adequate bluetooth. Also, great price.",positive,0.2
the first time it got wet it shorted out,negative,0.2
"I love having a charger and a nice yellow case for my phone.... BUT.... the charger cord became finicky after only a few days. I really have to make sure it sits correctly to charge the Power Bear. Also, it won't charge my Power Bear AND my phone at the same time. That lasted only a few days. Still, it is convenient when I get it to work properly.",neutral,0.4
"We bought this item about a year ago through Amazon. Having read the reviews, we installed the antenna inside the attic as high as it will go, and installed silvered insulation below it to isolate it from feedback that its own transmitter would produce. The RF cable supplied in the kit is 50 feet long, but although our house is 2 stories high there's no convenient way to run the cable to the first floor - so we couldn't locate the antenna 20 feet above the transmitter. Our house is located in a neighborhood that's notorious for poor cell reception. This booster increased the indicated signal on our cell phones from zero-to-1 bar up to 5 bars right next to the transmitter, but our joy was short-lived when we found that the performance of our phones wasn't increased all that much - the reception still isn't as clear as it is outside our neighborhead, and we still get too many dropped calls. The signal strength drops off rapidly elsewhere in the house; on average it's about 2 bars. We tried the e-mail tech support; the response was quick and accurate but it didn't make a silk purse of our sow's ear. They wanted a 20-foot separation between antenna and transmitter but that would require running exposed cable through a second-story room and that isn't an acceptable option for us. They also suggested using as short a cable as possible for maximum signal strength so we used a 25-foot cable but that hasn't had a noticeable effect. So the bottom line for us is that it does increase reception from almost-nonexistent to barely-there. It works, but is not worth $190 to us.",neutral,0.2
"I was minutes away from ordering this phone on Amazon. It looks amazing. Trouble is, it does not have the proper 3G antennas for United States 3G (AT&T). So you will only get EDGE speeds unless you are out of the US (Europe, etc). Everything else on the phone will work just fine, but 3G will not. Just a heads up if you missed the mention of no USA 3G in the description. I just got the N95-4 instead so I could have 3G. The camera on the N82 is much better, but I can't stand EDGE data. Too slow. If you are on T-Mobile in the states, or don't care about 3G, the N82 is the phone to get!",neutral,0.2
"My order for this item I have not received the 3d Blling Crystal Bow Transparent Case as of October 5, 2012",negative,0.2
"I originally bought this headset for my wife (her first BT headset) because she didn't like the look of my&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Plantronics-Voyager-510-Bluetooth-Headset-with-Multipoint-Technology-Retail-Packaged/dp/B0009B0IX4/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Plantronics Voyager 510 Bluetooth Headset with Multipoint Technology [Retail Packaged</a>]. She found the 330 painfully uncomfortable and decided to sacrifice style for comfort (quite a departure from her typical choices, particularly regarding footwear); thus she is now enjoying my 510 and I'm getting by with the 330. I don't find the 330 uncomfortable for the first few hours, but I never forget it's in my ear like I did with the 510. If you have very small ears, it's probably a bad choice. Here's a brief comparison between the two with my 5 point ratings: STYLE & DESIGN I greatly prefer the 330's single side button that makes it very easy adjust the volume. On the 510, I found the volume and power buttons behind the ear difficult to reach and easy to confuse - probably my biggest complaint with the 510. I prefer the look and size of the 330. It's more modern and discreet. However, it's not a fashion accessory and everyone looks like a dork with a flashing blue light next to their ear with any BT headset. I wish people would realize this and take these things off in public (especially in restaurants). I only use mine in the car or when at the computer so this is the least important criteria for me. COMFORT The 510 is the clear winner here for both me and my wife. Everyone's ear is different and I find the 330 less uncomfortable than my wife did. A few may find the 330 fits them better than the 510, but the 510 includes 3 ear pieces to provide a custom fit. PERFORMANCE This is the best reason to get the 510. I've used worse headsets than the 330, but none better than the 510. With the 330, I get static if the phone is on the other side of body from the headset. The 330's claimed 30' range - maybe at high altitude with no obstructions, no other radio interference with no solar flares and a full moon - real world, more like 10' with no obstructions. Noise canceling is far superior on the 510. People would never guess I was using a headset - usually they couldn't even tell when I was in my car. The 330 is about useless in a windy environment and picks up a lot of background noise. Both headsets seem to have very good battery life and audio quality for listening. The 510 also has the advantage of being able to pair with 2 devices simultaneously but I've never tried this feature. STYLE & DESIGN 330 - 4 510 - 2 COMFORT 330 - 3 510 - 5 PERFORMANCE 330 - 3 510 - 5 FEATURES & PRICE 330 - 4 (probably better than most headsets < $30) 510 - 5 (more expensive but worth it for features and performance) OVERALL 330 - 3 510 - 5 The comfort and performance of the 510 justify the extra $16.",positive,0.8
"This is a well-made, long lasting leather case for the V3xx. Original one was almost 5 yrs old. That's the reason it took awhile searching online to find the exact replacement my husband wanted. Next time I'll try Amazon first.",positive,0.2
"This case was really pretty when when I first took it out the pack but after just 3 days the leopard print began to peel off the case. It got worse everyday. 2 weeks after opening and putting the case on my phone, the case looked hideous because of the peeling and now everyone asks me ""whats wrong with your phone?"" It's not worth your 5 dollars. And it doesn't even protect your phone. I dropped my phone once and the case flew off and my phone got scratched up. But I guess you get what you pay for, you're better off investing in a durable case. I wouldn't recommend this piece of crap. The first week after I I received the case i tried emailing the seller about getting me a new one....twice. I don't know if it didn't go through or what, but I got no reply both times. I will not buy from this person again.",negative,0.2
"i'm just wondering if it'll help for real though. ive been able to recieve texts in dead zone areas more often although not always. not a total waste i suppose, it was only about 2 bucks anyway",negative,0.2
"This battery was bought to replace an old battery, yet performs only slightly better than the old one.",positive,0.2
the belt loop ripped on the 2 case i bought after 2weeks so don't think this works for me -,neutral,0.2
This product... I guess I will return this ASAP. What kind of bluetooth car kit is bad than my speaker phone... people that I called saying they can't hear that much and too noisy... My bluetooth ear piece and speaker phone is way better than this. Don't they check or test before sell it? can't believe this. (I have 2004 honda accord which is not that big noise car also I have brand new motorola RAZR V3),negative,0.6000000000000001
"The product fit the phone just fine, but the appearance of the case is not attractive. I like a bargain, but this case looks really, really cheap! It also doesn't provide protection for the external or internal screens, or the key pad. The exterior buttons on the phone are covered up and difficult to use while in the case. I was very disappointed with this product and returned it the day after I received it. I've had much better luck and overall satisfaction with the Body Glove Scuba II case (at a comparable price).",negative,0.4
"bought the phone tools 4.0 after reading the claims of the package. I just wanted to back up and interface with outlook. After hours of research and trouble-shooting, it's still not working.",negative,0.2
There is no rating. This has been the worst experience I have ever had!!!! The phone quick notes are in german..The Battery dies after an hour!!! I want my money back!!!,negative,0.2
Doesn't work very well.,negative,0.4
"...And that is to not have to hold your phone any more. Audio quality is low, clip, as other readers have said, really IS junk - it fell off literally in the first 20 minutes of talking just from having it push against my shirt. It didn't damage the cable or anything; but I think that's just because it wasn't attached like at ALL when it fell off. Couldn't get it back on either because they give you about 20 pages of warranty information in 40 different languages but nothing else. Audio quality = sounding like you're speaking underwater. The ear bud itself is, as others have said, huge = I'm a pretty big guy, but this thing is about 3/4 inches in diameter. To make matters worse, mine at least did not even come with a simple foam cover for the earbud, meaning that when you're trying to get this huge bud shoved into your ear canal, it really HURTS as you're trying to do it without any kind of soft foam to protect you. However, it's pretty cheap and USB. That's what I saw when I bought it 5 days ago. Make your own decision, but I think that now if I found literally ANY other kind of USB headset that would work with a RAZR, I'd take it.",negative,0.6000000000000001
This cable and software was inexpensive (shipping and handling cost more than item)and it works GREAT!!! I received it really fast and was surprised how quickly it came. I have made up my own ring tones for my phone and assigned them to my different family members. It is wonderful to not have to pay the extra money for ring tones. Thank you!,positive,0.2
"l am ratting this product, as garbage but as is too bad the garbage has more worth, amazom to know this?",negative,0.4
"the tool that comes with it is garbage. i ended up using a guitar pick which worked great. you will also need a very small Phillips screwdriver. i still left 5 stars because the seller has exceptional customer service. they replied to my emails within minutes. the screen is awesome, and that's all that matters. there are tons of how-to videos available. i also dropped in a new battery......iPod is like new. don't be intimidated, it's simple.",positive,0.2
"This headset works fine re quality of sound, but is quite large. Boom as an on / off switch also works well. The reason I give it two stars is that is uses a unique power cable not a mini USB connection. I have enough cables to manage already.",neutral,0.2
"this cover fits perfectly! It lines up great and you can use the keys perfecty too. It protects your keypad from the letters wearing off. The only draw back is when the keypad lights up the cover is over the keys and you can't see the lighted keys. So, it works great except in the dark.",positive,0.2
"I bought a second one of these within the first year because I managed to snap off the clip with too much pressure on it from sitting bended in the car. Still - I bought another because I believe for the price, this is a great holster. Love it. I even have a skin on my BB and it fits nicely in this holster. The second unit had slightly different ""quality"" in that it seemed slightly less polished and the spin on the clip is a bit rough - but again - for the price - I'm OK with it and am happy again.",positive,0.2
I've been using this for a few weeks now and am impressed. It's well made and functional. The suction cup has kept the unit solidly attached to my windshield.,positive,0.2
"This garlic keeper is perfect.... well made and decent size. It holds 3 medium heads. The issue I have is the pricing here... MyCuisina, the company selling through Amazon, sells it on their site for $8.99. Really, Amazon? I mean I understand you have to make a profit, but $7.70 is a helluva surcharge on an $8.99 item.",positive,0.2
