ts,text,sentiment,urgency,aspects
2025-08-14T17:09:33,The item was broken and I want a refund,negative,high,quality
2025-08-14T17:11:52,It works as expected — feels solid,neutral,low,
2025-08-14T17:15:16,Arrived late and box was damaged — great price,negative,high,price
2025-08-14T17:50:42,Overpriced for what it offers,neutral,low,price
2025-08-14T18:23:57,Arrived late and box was damaged,negative,high,
2025-08-14T18:15:12,Nothing special about it,neutral,low,
2025-08-14T18:33:32,Nothing special about it,neutral,low,
2025-08-14T18:49:18,Battery dies quickly — fast shipping,neutral,low,shipping
2025-08-14T18:50:59,Fast delivery and well packed — damaged packaging,neutral,low,shipping
2025-08-14T18:52:04,Nothing special about it — defective unit,negative,low,quality
2025-08-14T18:52:33,Great value for the price — defective unit,negative,low,price|quality
2025-08-14T18:28:12,Fast delivery and well packed — overpriced,neutral,low,price|shipping
2025-08-14T18:32:52,Nothing special about it — overpriced,neutral,low,price
2025-08-14T18:56:40,Battery dies quickly,neutral,low,
2025-08-14T18:46:17,Camera is fantastic — late delivery,negative,high,shipping
2025-08-14T18:54:14,Fast delivery and well packed — feels solid,neutral,low,shipping
2025-08-14T18:52:31,The item was broken and I want a refund — stopped working,negative,high,quality
2025-08-14T18:26:12,Poor camera quality — fast shipping,neutral,low,quality|shipping
2025-08-14T18:25:54,Poor camera quality,neutral,low,quality
2025-08-14T18:23:02,Battery dies quickly — great price,positive,low,price
2025-08-14T18:31:40,The item was broken and I want a refund — fast shipping,negative,high,quality|shipping
2025-08-14T18:05:14,Battery dies quickly — poor quality,neutral,low,quality
2025-08-14T18:00:45,Amazing battery life,positive,low,
2025-08-14T18:47:38,Overpriced for what it offers,neutral,low,price
2025-08-14T19:10:07,The item was broken and I want a refund — poor quality,negative,high,quality
2025-08-14T19:59:35,Nothing special about it — damaged packaging,neutral,low,
2025-08-14T19:10:34,Amazing battery life — defective unit,negative,low,quality
2025-08-14T19:54:44,Amazing battery life,positive,low,
2025-08-14T19:40:31,Amazing battery life — damaged packaging,positive,low,
2025-08-14T19:51:16,Amazing battery life,positive,low,
2025-08-14T19:07:47,Camera is fantastic — fast shipping,neutral,low,shipping
2025-08-14T19:03:25,Battery dies quickly — poor quality,neutral,low,quality
2025-08-14T19:20:49,Arrived late and box was damaged — feels solid,negative,high,
2025-08-14T19:15:24,Poor camera quality — poor quality,neutral,low,quality
2025-08-14T19:21:13,Battery dies quickly — stopped working,neutral,low,
2025-08-14T19:51:40,"Excellent quality, I loved it",positive,low,quality
2025-08-14T19:33:44,"Excellent quality, I loved it — slow courier",positive,low,quality|shipping
2025-08-14T19:51:25,Camera is fantastic — poor quality,neutral,low,quality
2025-08-14T19:07:37,Average performance — cheap build for the price,neutral,low,price
2025-08-14T19:40:48,The product is okay — great price,positive,low,price
2025-08-14T19:51:54,Battery dies quickly — great price,positive,low,price
2025-08-14T19:11:03,Arrived late and box was damaged,negative,high,
2025-08-14T19:27:11,Fast delivery and well packed — on-time delivery,neutral,low,shipping
2025-08-14T19:40:23,Average performance — feels solid,neutral,low,
2025-08-14T20:38:02,Arrived late and box was damaged,negative,high,
2025-08-14T20:42:23,"Excellent quality, I loved it — stopped working",positive,low,quality
2025-08-14T20:32:29,The item was broken and I want a refund,negative,high,quality
2025-08-14T20:58:43,Amazing battery life — slow courier,positive,low,shipping
2025-08-14T20:07:34,Overpriced for what it offers — stopped working,neutral,low,price
2025-08-14T20:01:44,The item was broken and I want a refund — stopped working,negative,high,quality
2025-08-14T20:58:05,Poor camera quality — stopped working,neutral,low,quality
2025-08-14T20:51:26,Fast delivery and well packed — excellent build,positive,low,shipping
2025-08-14T20:35:43,Camera is fantastic,neutral,low,
2025-08-14T20:29:04,Great value for the price — late delivery,negative,high,price|shipping
2025-08-14T20:33:33,"Excellent quality, I loved it — overpriced",positive,low,price|quality
2025-08-14T20:04:57,Overpriced for what it offers — feels solid,neutral,low,price
2025-08-14T20:35:23,The item was broken and I want a refund — slow courier,negative,high,quality|shipping
2025-08-14T20:55:16,Camera is fantastic,neutral,low,
2025-08-14T20:13:47,Fast delivery and well packed,neutral,low,shipping
2025-08-14T20:44:54,Amazing battery life,positive,low,
2025-08-14T20:36:45,The product is okay — great price,positive,low,price
2025-08-14T20:55:53,Camera is fantastic — poor quality,neutral,low,quality
2025-08-14T20:57:28,Arrived late and box was damaged — late delivery,negative,high,shipping
2025-08-14T20:42:53,Great value for the price — late delivery,negative,high,price|shipping
2025-08-14T21:24:05,Amazing battery life — on-time delivery,positive,low,shipping
2025-08-14T21:59:48,Poor camera quality,neutral,low,quality
2025-08-14T21:54:28,Overpriced for what it offers — fast shipping,neutral,low,price|shipping
2025-08-14T21:51:28,Overpriced for what it offers,neutral,low,price
2025-08-14T21:50:11,Overpriced for what it offers — cheap build for the price,neutral,low,price
2025-08-14T21:54:30,Poor camera quality — damaged packaging,neutral,low,quality
2025-08-14T21:40:55,Camera is fantastic — worth the cost,neutral,low,price
2025-08-14T21:39:14,Nothing special about it — fast shipping,neutral,low,shipping
2025-08-14T21:43:26,Great value for the price — stopped working,positive,low,price
2025-08-14T21:40:57,Camera is fantastic — overpriced,neutral,low,price
2025-08-14T21:26:46,Amazing battery life — overpriced,positive,low,price
2025-08-14T21:17:46,No issues so far — cheap build for the price,neutral,medium,price
2025-08-14T21:26:09,Battery dies quickly — late delivery,negative,high,shipping
2025-08-14T21:02:04,Battery dies quickly,neutral,low,
2025-08-14T21:39:51,It works as expected — fast shipping,neutral,low,shipping
2025-08-14T21:33:41,Poor camera quality — stopped working,neutral,low,quality
2025-08-14T21:32:43,Amazing battery life — overpriced,positive,low,price
2025-08-14T21:20:59,Overpriced for what it offers — poor quality,neutral,low,price|quality
2025-08-14T21:35:31,Overpriced for what it offers,neutral,low,price
2025-08-14T21:25:30,Camera is fantastic — excellent build,positive,low,
2025-08-14T22:36:21,Battery dies quickly — slow courier,neutral,low,shipping
2025-08-14T22:11:53,Great value for the price — overpriced,positive,low,price
2025-08-14T22:42:03,Arrived late and box was damaged,negative,high,
2025-08-14T22:56:09,The item was broken and I want a refund — feels solid,negative,high,quality
2025-08-14T22:47:06,Great value for the price — on-time delivery,positive,low,price|shipping
2025-08-14T22:58:49,No issues so far — overpriced,neutral,medium,price
2025-08-14T22:31:52,The item was broken and I want a refund — overpriced,negative,high,price|quality
2025-08-14T22:16:15,Fast delivery and well packed — overpriced,neutral,low,price|shipping
2025-08-14T22:59:57,Fast delivery and well packed — damaged packaging,neutral,low,shipping
2025-08-14T22:25:48,Arrived late and box was damaged — damaged packaging,negative,high,
2025-08-14T22:43:05,Average performance — fast shipping,neutral,low,shipping
2025-08-14T22:43:46,Camera is fantastic — poor quality,neutral,low,quality
2025-08-14T22:39:08,"Excellent quality, I loved it — fast shipping",positive,low,quality|shipping
2025-08-14T22:05:19,Camera is fantastic — cheap build for the price,neutral,low,price
2025-08-14T22:29:06,Arrived late and box was damaged — worth the cost,negative,high,price
2025-08-14T22:43:30,Poor camera quality — stopped working,neutral,low,quality
2025-08-14T22:57:03,Overpriced for what it offers — poor quality,neutral,low,price|quality
2025-08-14T22:27:22,Overpriced for what it offers — cheap build for the price,neutral,low,price
2025-08-14T22:24:45,Poor camera quality — defective unit,negative,low,quality
2025-08-14T22:25:24,Poor camera quality — fast shipping,neutral,low,quality|shipping
2025-08-14T23:48:20,Overpriced for what it offers,neutral,low,price
2025-08-14T23:17:35,Great value for the price — feels solid,positive,low,price
2025-08-14T23:29:55,The product is okay — overpriced,neutral,low,price
2025-08-14T23:20:20,Arrived late and box was damaged — poor quality,negative,high,quality
2025-08-14T23:01:19,Overpriced for what it offers — worth the cost,neutral,low,price
2025-08-14T23:59:32,Great value for the price — excellent build,positive,low,price
2025-08-14T23:00:41,Average performance — cheap build for the price,neutral,low,price
2025-08-14T23:52:26,Great value for the price — poor quality,positive,low,price|quality
2025-08-14T23:31:28,Great value for the price — worth the cost,positive,low,price
2025-08-14T23:12:42,Nothing special about it — feels solid,neutral,low,
2025-08-14T23:46:02,Overpriced for what it offers,neutral,low,price
2025-08-14T23:05:18,Amazing battery life — poor quality,positive,low,quality
2025-08-14T23:22:40,Poor camera quality — cheap build for the price,neutral,low,price|quality
2025-08-14T23:19:36,No issues so far,neutral,medium,
2025-08-14T23:38:19,"Excellent quality, I loved it — too expensive",positive,low,price|quality
2025-08-14T23:37:06,"Excellent quality, I loved it",positive,low,quality
2025-08-14T23:44:14,"Excellent quality, I loved it — cheap build for the price",positive,low,price|quality
2025-08-14T23:37:30,Overpriced for what it offers — stopped working,neutral,low,price
2025-08-14T23:46:29,The item was broken and I want a refund — fast shipping,negative,high,quality|shipping
2025-08-14T23:33:27,Nothing special about it,neutral,low,
2025-08-15T00:47:17,Overpriced for what it offers,neutral,low,price
2025-08-15T00:24:58,Poor camera quality — defective unit,negative,low,quality
2025-08-15T00:35:07,Camera is fantastic,neutral,low,
2025-08-15T00:16:11,The item was broken and I want a refund — overpriced,negative,high,price|quality
2025-08-15T00:35:01,Average performance — cheap build for the price,neutral,low,price
2025-08-15T00:12:18,Battery dies quickly — fast shipping,neutral,low,shipping
2025-08-15T00:00:01,Poor camera quality — great price,positive,low,price|quality
2025-08-15T00:45:59,Battery dies quickly — stopped working,neutral,low,
2025-08-15T00:26:36,The product is okay — cheap build for the price,neutral,low,price
2025-08-15T00:22:14,Nothing special about it — feels solid,neutral,low,
2025-08-15T00:46:31,Camera is fantastic — stopped working,neutral,low,
2025-08-15T00:05:09,Camera is fantastic,neutral,low,
2025-08-15T00:46:53,Arrived late and box was damaged — overpriced,negative,high,price
2025-08-15T00:17:22,Great value for the price — defective unit,negative,low,price|quality
2025-08-15T00:41:12,Battery dies quickly — great price,positive,low,price
2025-08-15T00:23:51,Battery dies quickly — slow courier,neutral,low,shipping
2025-08-15T00:30:55,Overpriced for what it offers — cheap build for the price,neutral,low,price
2025-08-15T00:46:45,Battery dies quickly — overpriced,neutral,low,price
2025-08-15T00:48:48,Arrived late and box was damaged,negative,high,
2025-08-15T00:58:06,"Excellent quality, I loved it",positive,low,quality
2025-08-15T01:06:36,Arrived late and box was damaged — feels solid,negative,high,
2025-08-15T01:15:45,Arrived late and box was damaged — excellent build,negative,high,
2025-08-15T01:29:10,The item was broken and I want a refund — too expensive,negative,high,price|quality
2025-08-15T01:31:12,Great value for the price — great price,positive,low,price
2025-08-15T01:34:24,No issues so far — stopped working,neutral,medium,
2025-08-15T01:27:13,"Excellent quality, I loved it — late delivery",negative,high,quality|shipping
2025-08-15T01:30:45,Arrived late and box was damaged,negative,high,
2025-08-15T01:03:46,Average performance — slow courier,neutral,low,shipping
2025-08-15T01:49:05,It works as expected — on-time delivery,neutral,low,shipping
2025-08-15T01:59:18,The item was broken and I want a refund — great price,negative,high,price|quality
2025-08-15T01:59:20,Fast delivery and well packed — late delivery,negative,high,shipping
2025-08-15T01:55:13,The product is okay — on-time delivery,neutral,low,shipping
2025-08-15T01:25:14,Amazing battery life,positive,low,
2025-08-15T01:24:23,Average performance — slow courier,neutral,low,shipping
2025-08-15T01:31:06,Battery dies quickly — too expensive,neutral,low,price
2025-08-15T01:25:57,The item was broken and I want a refund — worth the cost,negative,high,price|quality
2025-08-15T01:48:57,Battery dies quickly — damaged packaging,neutral,low,
2025-08-15T01:18:18,Fast delivery and well packed — worth the cost,neutral,low,price|shipping
2025-08-15T01:44:01,Amazing battery life — slow courier,positive,low,shipping
2025-08-15T01:07:41,Overpriced for what it offers — cheap build for the price,neutral,low,price
2025-08-15T03:05:23.206536,The product arrived late and the quality was terrible,negative,high,quality
2025-08-15T03:05:26.335176,The product arrived on time and works perfectly,positive,low,
2025-08-15T03:05:26.342227,The packaging was damaged and the item was broken,negative,high,quality
2025-08-15T03:05:26.350762,Customer service was very helpful and polite,neutral,low,
2025-08-14T15:49:43,It works as expected,neutral,low,
2025-08-14T15:15:52,Overpriced for what it offers — worth the cost,neutral,low,price
2025-08-14T15:39:17,Camera is fantastic,neutral,low,
2025-08-14T15:37:33,Fast delivery and well packed — stopped working,neutral,low,shipping
2025-08-14T15:43:05,Fast delivery and well packed — on-time delivery,neutral,low,shipping
2025-08-14T15:21:15,Fast delivery and well packed — fast shipping,neutral,low,shipping
2025-08-14T15:29:26,Fast delivery and well packed,neutral,low,shipping
2025-08-14T15:10:30,"Excellent quality, I loved it — feels solid",positive,low,quality
2025-08-14T15:44:08,Amazing battery life — fast shipping,positive,low,shipping
2025-08-14T15:09:52,Great value for the price — worth the cost,positive,low,price
2025-08-14T15:03:40,"Excellent quality, I loved it — great price",positive,low,price|quality
2025-08-14T15:23:17,Overpriced for what it offers — too expensive,neutral,low,price
2025-08-14T15:31:43,Poor camera quality,neutral,low,quality
2025-08-14T15:57:35,Camera is fantastic — too expensive,neutral,low,price
2025-08-14T15:28:34,Camera is fantastic — cheap build for the price,neutral,low,price
2025-08-14T15:22:40,Camera is fantastic — damaged packaging,neutral,low,
2025-08-14T15:29:24,Camera is fantastic — fast shipping,neutral,low,shipping
2025-08-14T15:39:59,Poor camera quality — late delivery,negative,high,quality|shipping
2025-08-14T15:05:54,Arrived late and box was damaged — feels solid,negative,high,
2025-08-14T15:49:52,Great value for the price,positive,low,price
2025-08-14T16:08:22,The item was broken and I want a refund,negative,high,quality
2025-08-14T16:38:09,Amazing battery life,positive,low,
2025-08-14T16:28:37,Amazing battery life — poor quality,positive,low,quality
2025-08-14T16:21:31,Poor camera quality — damaged packaging,neutral,low,quality
2025-08-14T16:34:39,Camera is fantastic,neutral,low,
2025-08-14T16:00:02,Arrived late and box was damaged — feels solid,negative,high,
2025-08-14T16:06:40,"Excellent quality, I loved it — stopped working",positive,low,quality
2025-08-14T16:07:49,Nothing special about it — cheap build for the price,neutral,low,price
2025-08-14T16:37:46,It works as expected — feels solid,neutral,low,
2025-08-14T16:34:12,Poor camera quality — poor quality,neutral,low,quality
2025-08-14T16:22:12,Overpriced for what it offers — damaged packaging,neutral,low,price
2025-08-14T16:25:52,Battery dies quickly — on-time delivery,neutral,low,shipping
2025-08-14T16:54:39,Battery dies quickly — worth the cost,neutral,low,price
2025-08-14T16:28:18,Camera is fantastic — excellent build,positive,low,
2025-08-14T16:46:01,It works as expected — feels solid,neutral,low,
2025-08-14T16:03:46,Battery dies quickly,neutral,low,
2025-08-14T16:19:24,Arrived late and box was damaged — late delivery,negative,high,shipping
2025-08-14T16:21:28,Overpriced for what it offers — too expensive,neutral,low,price
2025-08-14T16:52:38,Overpriced for what it offers — overpriced,neutral,low,price
2025-08-14T16:41:24,Poor camera quality,neutral,low,quality
2025-08-14T17:42:37,Average performance — slow courier,neutral,low,shipping
2025-08-14T17:28:53,Fast delivery and well packed,neutral,low,shipping
2025-08-14T17:35:42,Battery dies quickly — damaged packaging,neutral,low,
2025-08-14T17:50:19,Camera is fantastic — cheap build for the price,neutral,low,price
2025-08-14T17:28:23,The item was broken and I want a refund,negative,high,quality
2025-08-14T17:58:41,Camera is fantastic,neutral,low,
2025-08-14T17:54:15,Amazing battery life — damaged packaging,positive,low,
2025-08-14T17:36:19,Average performance — damaged packaging,neutral,low,
2025-08-14T17:41:31,Camera is fantastic — slow courier,neutral,low,shipping
2025-08-14T17:07:04,Arrived late and box was damaged — overpriced,negative,high,price
2025-08-14T17:21:52,Poor camera quality — on-time delivery,neutral,low,quality|shipping
2025-08-14T17:28:52,The product is okay,neutral,low,
2025-08-14T17:07:18,Fast delivery and well packed — fast shipping,neutral,low,shipping
2025-08-14T17:03:59,Average performance — on-time delivery,neutral,low,shipping
2025-08-14T17:26:23,Poor camera quality — cheap build for the price,neutral,low,price|quality
2025-08-14T17:10:10,The item was broken and I want a refund — fast shipping,negative,high,quality|shipping
2025-08-14T17:36:45,"Excellent quality, I loved it — fast shipping",positive,low,quality|shipping
2025-08-14T17:00:50,It works as expected — fast shipping,neutral,low,shipping
2025-08-14T17:12:27,Nothing special about it — on-time delivery,neutral,low,shipping
2025-08-14T17:37:12,Camera is fantastic — damaged packaging,neutral,low,
2025-08-14T18:11:13,Nothing special about it — too expensive,neutral,low,price
2025-08-14T18:18:33,Camera is fantastic — stopped working,neutral,low,
2025-08-14T18:22:22,Arrived late and box was damaged — stopped working,negative,high,
2025-08-14T18:06:40,Nothing special about it — slow courier,neutral,low,shipping
2025-08-14T18:05:36,Fast delivery and well packed — cheap build for the price,neutral,low,price|shipping
2025-08-14T18:47:06,"Excellent quality, I loved it — excellent build",positive,low,quality
2025-08-14T18:01:39,The product is okay — fast shipping,neutral,low,shipping
2025-08-14T18:15:43,Great value for the price — poor quality,positive,low,price|quality
2025-08-14T18:29:20,Overpriced for what it offers — too expensive,neutral,low,price
2025-08-14T18:08:50,"Excellent quality, I loved it — fast shipping",positive,low,quality|shipping
2025-08-14T18:10:17,Great value for the price — great price,positive,low,price
2025-08-14T18:41:19,The item was broken and I want a refund,negative,high,quality
2025-08-14T18:13:44,Fast delivery and well packed — defective unit,negative,low,quality|shipping
2025-08-14T18:13:23,Great value for the price — late delivery,negative,high,price|shipping
2025-08-14T18:35:45,Great value for the price — slow courier,positive,low,price|shipping
2025-08-14T18:26:45,Great value for the price,positive,low,price
2025-08-14T18:55:50,Amazing battery life — fast shipping,positive,low,shipping
2025-08-14T18:35:35,Camera is fantastic — defective unit,negative,low,quality
2025-08-14T18:36:19,Battery dies quickly — damaged packaging,neutral,low,
2025-08-14T18:35:13,Overpriced for what it offers,neutral,low,price
2025-08-14T19:55:25,Poor camera quality — defective unit,negative,low,quality
2025-08-14T19:55:37,Great value for the price — poor quality,positive,low,price|quality
2025-08-14T19:26:23,"Excellent quality, I loved it",positive,low,quality
2025-08-14T19:54:36,Camera is fantastic — feels solid,neutral,low,
2025-08-14T19:02:46,Camera is fantastic — too expensive,neutral,low,price
2025-08-14T19:36:43,Fast delivery and well packed — on-time delivery,neutral,low,shipping
2025-08-14T19:37:51,The item was broken and I want a refund — overpriced,negative,high,price|quality
2025-08-14T19:16:01,Nothing special about it — great price,positive,low,price
2025-08-14T19:26:04,Battery dies quickly — feels solid,neutral,low,
2025-08-14T19:07:11,Poor camera quality — poor quality,neutral,low,quality
2025-08-14T19:35:03,Camera is fantastic — damaged packaging,neutral,low,
2025-08-14T19:43:38,The item was broken and I want a refund — slow courier,negative,high,quality|shipping
2025-08-14T19:30:13,Poor camera quality — poor quality,neutral,low,quality
2025-08-14T19:21:29,Camera is fantastic — feels solid,neutral,low,
2025-08-14T19:13:03,Battery dies quickly — feels solid,neutral,low,
2025-08-14T19:28:55,Battery dies quickly — fast shipping,neutral,low,shipping
2025-08-14T19:14:13,Amazing battery life — great price,positive,low,price
2025-08-14T19:32:58,The item was broken and I want a refund — too expensive,negative,high,price|quality
2025-08-14T19:19:09,Arrived late and box was damaged,negative,high,
2025-08-14T19:47:59,It works as expected — too expensive,neutral,low,price
2025-08-14T20:18:56,Camera is fantastic — stopped working,neutral,low,
2025-08-14T20:06:16,Great value for the price — overpriced,positive,low,price
2025-08-14T20:16:46,No issues so far — slow courier,neutral,medium,shipping
2025-08-14T20:01:02,Poor camera quality — fast shipping,neutral,low,quality|shipping
2025-08-14T20:03:31,Fast delivery and well packed — stopped working,neutral,low,shipping
2025-08-14T20:39:43,Poor camera quality — stopped working,neutral,low,quality
2025-08-14T20:15:01,Average performance,neutral,low,
2025-08-14T20:21:31,The product is okay — on-time delivery,neutral,low,shipping
2025-08-14T20:47:11,Great value for the price — poor quality,positive,low,price|quality
2025-08-14T20:59:51,The item was broken and I want a refund — fast shipping,negative,high,quality|shipping
2025-08-14T20:15:45,"Excellent quality, I loved it — poor quality",positive,low,quality
2025-08-14T20:32:53,Overpriced for what it offers — excellent build,positive,low,price
2025-08-14T20:26:40,No issues so far,neutral,medium,
2025-08-14T20:04:55,Fast delivery and well packed — excellent build,positive,low,shipping
2025-08-14T20:13:56,Nothing special about it — feels solid,neutral,low,
2025-08-14T20:02:34,Overpriced for what it offers — slow courier,neutral,low,price|shipping
2025-08-14T20:49:32,Arrived late and box was damaged,negative,high,
2025-08-14T20:38:47,Great value for the price — feels solid,positive,low,price
2025-08-14T20:40:55,Camera is fantastic — defective unit,negative,low,quality
2025-08-14T20:20:17,It works as expected — excellent build,positive,low,
2025-08-14T21:24:43,Great value for the price — worth the cost,positive,low,price
2025-08-14T21:29:21,No issues so far — damaged packaging,neutral,medium,
2025-08-14T21:00:56,It works as expected — overpriced,neutral,low,price
2025-08-14T21:42:44,"Excellent quality, I loved it — excellent build",positive,low,quality
2025-08-14T21:01:42,The product is okay — too expensive,neutral,low,price
2025-08-14T21:16:26,The item was broken and I want a refund — on-time delivery,negative,high,quality|shipping
2025-08-14T21:05:56,The item was broken and I want a refund — late delivery,negative,high,quality|shipping
2025-08-14T21:55:18,It works as expected — damaged packaging,neutral,low,
2025-08-14T21:02:14,The item was broken and I want a refund — damaged packaging,negative,high,quality
2025-08-14T21:14:31,Arrived late and box was damaged — late delivery,negative,high,shipping
2025-08-14T21:19:24,Nothing special about it — stopped working,neutral,low,
2025-08-14T21:42:01,The item was broken and I want a refund — feels solid,negative,high,quality
2025-08-14T21:55:02,The product is okay,neutral,low,
2025-08-14T21:27:40,Fast delivery and well packed — excellent build,positive,low,shipping
2025-08-14T21:17:15,Camera is fantastic — slow courier,neutral,low,shipping
2025-08-14T21:55:30,The product is okay,neutral,low,
2025-08-14T21:24:34,No issues so far — defective unit,negative,medium,quality
2025-08-14T21:21:44,Battery dies quickly,neutral,low,
2025-08-14T21:52:51,"Excellent quality, I loved it — worth the cost",positive,low,price|quality
2025-08-14T21:34:07,Battery dies quickly,neutral,low,
2025-08-14T22:56:35,Arrived late and box was damaged — great price,negative,high,price
2025-08-14T22:22:55,Overpriced for what it offers — too expensive,neutral,low,price
2025-08-14T22:18:05,No issues so far — cheap build for the price,neutral,medium,price
2025-08-14T22:19:09,Poor camera quality — feels solid,neutral,low,quality
2025-08-14T22:40:19,Battery dies quickly — worth the cost,neutral,low,price
2025-08-14T22:50:04,Amazing battery life — worth the cost,positive,low,price
2025-08-14T22:28:22,No issues so far — damaged packaging,neutral,medium,
